Date,AEX_Close,BEL20_Close,CAC40_Close,DAX_Close
"Jun 3, 2011",340.24,2628.71,3890.68,7109.03
"Jun 6, 2011",339.18,2617.14,3863.40,7084.57
"Jun 7, 2011",338.93,2622.32,3871.92,7103.25
"Jun 8, 2011",335.65,2598.80,3837.98,7060.23
"Jun 9, 2011",338.04,2615.74,3878.65,7159.66
"Jun 10, 2011",333.83,2574.08,3805.09,7069.90
"Jun 13, 2011",334.03,2570.69,3807.61,7085.14
"Jun 14, 2011",337.52,2590.15,3864.58,7204.79
"Jun 15, 2011",334.04,2562.63,3806.85,7115.08
"Jun 16, 2011",332.35,2546.67,3792.31,7110.20
"Jun 17, 2011",333.11,2565.70,3823.74,7164.05
"Jun 20, 2011",331.64,2544.94,3799.66,7150.21
"Jun 21, 2011",336.14,2580.87,3877.07,7285.51
"Jun 22, 2011",334.17,2558.12,3871.37,7278.19
"Jun 23, 2011",328.57,2513.47,3787.79,7149.44
"Jun 24, 2011",328.74,2514.30,3784.80,7121.38
"Jun 27, 2011",328.51,2505.49,3796.55,7107.90
"Jun 28, 2011",329.90,2493.46,3851.89,7170.43
"Jun 29, 2011",335.28,2547.93,3924.23,7294.14
"Jun 30, 2011",339.65,2572.58,3982.21,7376.24
"Jul 1, 2011",342.82,2583.36,4007.35,7419.44
"Jul 4, 2011",343.50,2599.87,4003.11,7442.96
"Jul 5, 2011",343.10,2571.92,3978.83,7439.44
"Jul 6, 2011",341.62,2549.11,3961.34,7431.19
"Jul 7, 2011",345.16,2572.95,3979.96,7471.44
"Jul 8, 2011",342.48,2532.31,3913.55,7402.73
"Jul 11, 2011",336.16,2466.25,3807.51,7230.25
"Jul 12, 2011",332.12,2436.48,3774.12,7174.14
"Jul 13, 2011",332.98,2463.69,3793.27,7267.87
"Jul 14, 2011",330.46,2439.50,3751.23,7214.74
"Jul 15, 2011",329.49,2437.04,3726.59,7220.12
"Jul 18, 2011",323.17,2384.12,3650.71,7107.92
"Jul 19, 2011",326.17,2402.71,3694.95,7192.67
"Jul 20, 2011",330.65,2455.29,3754.60,7221.36
"Jul 21, 2011",336.86,2504.77,3816.75,7290.14
"Jul 22, 2011",338.60,2522.05,3842.70,7326.39
"Jul 25, 2011",337.27,2505.37,3812.97,7344.54
"Jul 26, 2011",336.74,2496.66,3787.88,7349.45
"Jul 27, 2011",333.10,2460.88,3734.07,7252.68
"Jul 28, 2011",332.56,2455.96,3712.66,7190.06
"Jul 29, 2011",329.22,2427.09,3672.77,7158.77
"Aug 1, 2011",324.59,2376.56,3588.05,6953.98
"Aug 2, 2011",320.00,2330.38,3522.79,6796.75
"Aug 3, 2011",310.69,2291.11,3454.94,6640.59
"Aug 4, 2011",300.85,2223.67,3320.35,6414.76
"Aug 5, 2011",296.35,2177.91,3278.56,6236.16
"Aug 8, 2011",283.36,2096.04,3125.19,5923.27
"Aug 9, 2011",287.05,2154.72,3176.19,5917.08
"Aug 10, 2011",277.27,2091.74,3002.99,5613.42
"Aug 11, 2011",282.79,2144.98,3089.66,5797.66
"Aug 12, 2011",291.90,2262.95,3213.88,5997.74
"Aug 15, 2011",293.70,2276.41,3239.06,6022.24
"Aug 16, 2011",291.51,2246.92,3230.90,5994.90
"Aug 17, 2011",292.65,2254.71,3254.34,5948.94
"Aug 18, 2011",279.58,2151.96,3076.04,5602.80
"Aug 19, 2011",274.15,2118.71,3016.99,5480.00
"Aug 22, 2011",276.37,2140.05,3051.36,5473.78
"Aug 23, 2011",278.32,2138.51,3084.37,5532.38
"Aug 24, 2011",281.58,2200.36,3139.55,5681.08
"Aug 25, 2011",278.49,2181.30,3119.00,5584.14
"Aug 26, 2011",276.60,2170.95,3087.64,5537.48
"Aug 29, 2011",281.26,2202.59,3154.20,5670.07
"Aug 30, 2011",283.64,2212.61,3159.74,5643.92
"Aug 31, 2011",292.93,2267.88,3256.76,5784.85
"Sep 1, 2011",293.96,2266.82,3265.83,5730.63
"Sep 2, 2011",286.43,2219.71,3148.53,5538.33
"Sep 5, 2011",274.45,2117.46,2999.54,5246.18
"Sep 6, 2011",273.33,2109.89,2965.64,5193.97
"Sep 7, 2011",281.05,2168.90,3073.18,5405.53
"Sep 8, 2011",283.39,2188.79,3085.83,5408.46
"Sep 9, 2011",276.10,2117.82,2974.59,5189.93
"Sep 12, 2011",268.48,2053.01,2854.81,5072.33
"Sep 13, 2011",270.05,2070.07,2894.93,5166.36
"Sep 14, 2011",273.56,2096.75,2949.14,5340.19
"Sep 15, 2011",278.52,2139.16,3045.62,5508.24
"Sep 16, 2011",281.73,2156.39,3031.08,5573.51
"Sep 19, 2011",274.63,2100.88,2940.00,5415.91
"Sep 20, 2011",279.54,2132.73,2984.05,5571.68
"Sep 21, 2011",275.68,2115.87,2935.82,5433.80
"Sep 22, 2011",263.44,2002.79,2781.68,5164.21
"Sep 23, 2011",264.72,2021.37,2810.11,5196.56
"Sep 26, 2011",269.83,2061.91,2859.34,5345.56
"Sep 27, 2011",282.04,2153.51,3023.38,5628.44
"Sep 28, 2011",278.31,2139.60,2995.62,5578.42
"Sep 29, 2011",283.98,2163.13,3027.65,5639.58
"Sep 30, 2011",280.18,2131.28,2981.96,5502.02
"Oct 3, 2011",275.64,2096.74,2926.83,5376.70
"Oct 4, 2011",270.06,2038.84,2850.55,5216.71
"Oct 5, 2011",278.09,2109.90,2973.90,5473.03
"Oct 6, 2011",285.81,2155.38,3075.37,5645.25
"Oct 7, 2011",288.31,2146.42,3095.56,5675.70
"Oct 10, 2011",293.34,2179.74,3161.47,5847.29
"Oct 11, 2011",292.88,2164.81,3153.52,5865.01
"Oct 12, 2011",300.14,2192.33,3229.76,5994.47
"Oct 13, 2011",297.39,2180.23,3186.94,5914.84
"Oct 14, 2011",302.41,2203.04,3217.89,5967.20
"Oct 17, 2011",299.24,2169.78,3166.06,5859.43
"Oct 18, 2011",298.68,2137.05,3141.10,5877.41
"Oct 19, 2011",301.68,2134.22,3157.34,5913.53
"Oct 20, 2011",299.01,2096.69,3084.07,5766.48
"Oct 21, 2011",305.70,2138.82,3171.34,5970.96
"Oct 24, 2011",308.32,2161.64,3220.46,6055.27
"Oct 25, 2011",304.98,2133.69,3174.29,6046.75
"Oct 26, 2011",303.84,2132.69,3169.62,6016.07
"Oct 27, 2011",315.45,2220.50,3368.62,6337.84
"Oct 28, 2011",313.01,2199.35,3348.63,6346.19
"Oct 31, 2011",307.50,2139.18,3242.84,6141.34
"Nov 1, 2011",296.19,2059.30,3068.33,5834.51
"Nov 2, 2011",298.21,2070.70,3110.59,5965.63
"Nov 3, 2011",304.50,2121.89,3195.47,6133.18
"Nov 4, 2011",301.97,2082.01,3123.55,5966.16
"Nov 7, 2011",299.75,2080.86,3103.60,5928.68
"Nov 8, 2011",303.98,2102.40,3143.30,5961.44
"Nov 9, 2011",294.40,2077.15,3075.16,5829.54
"Nov 10, 2011",294.32,2063.91,3064.84,5867.81
"Nov 11, 2011",300.98,2122.38,3149.38,6057.03
"Nov 14, 2011",296.90,2089.04,3108.95,5985.02
"Nov 15, 2011",292.93,2067.88,3049.13,5933.14
"Nov 16, 2011",294.47,2062.48,3064.90,5913.36
"Nov 17, 2011",290.21,2040.01,3010.29,5850.17
"Nov 18, 2011",288.01,2016.76,2997.01,5800.24
"Nov 21, 2011",278.84,1953.98,2894.94,5606.00
"Nov 22, 2011",276.91,1946.26,2870.68,5537.39
"Nov 23, 2011",272.79,1923.32,2822.43,5457.77
"Nov 24, 2011",271.61,1916.26,2822.25,5428.11
"Nov 25, 2011",274.37,1920.91,2856.97,5492.87
"Nov 28, 2011",285.07,2008.90,3012.93,5745.33
"Nov 29, 2011",287.55,2007.23,3026.76,5799.91
"Nov 30, 2011",299.68,2073.95,3154.62,6088.84
"Dec 1, 2011",296.97,2052.58,3129.95,6035.88
"Dec 2, 2011",300.77,2077.15,3164.95,6080.68
"Dec 5, 2011",305.10,2117.39,3201.28,6106.09
"Dec 6, 2011",304.80,2086.05,3179.63,6028.82
"Dec 7, 2011",304.31,2084.68,3175.98,5994.73
"Dec 8, 2011",299.79,2044.20,3095.49,5874.44
"Dec 9, 2011",304.58,2078.46,3172.35,5986.71
"Dec 12, 2011",297.39,2030.47,3089.59,5785.43
"Dec 13, 2011",298.56,2032.20,3078.72,5774.26
"Dec 14, 2011",292.15,1986.88,2976.17,5675.14
"Dec 15, 2011",294.62,2001.53,2998.73,5730.62
"Dec 16, 2011",294.03,2003.57,2972.30,5701.78
"Dec 19, 2011",293.90,2000.00,2974.20,5670.71
"Dec 20, 2011",301.79,2050.12,3055.39,5847.03
"Dec 21, 2011",300.80,2026.32,3030.47,5791.53
"Dec 22, 2011",305.18,2040.29,3071.80,5852.18
"Dec 23, 2011",307.79,2054.45,3102.09,5878.93
"Dec 27, 2011",309.37,2054.23,3103.11,5889.76
"Dec 28, 2011",306.76,2043.59,3071.08,5771.27
"Dec 29, 2011",310.76,2067.09,3127.56,5848.78
"Dec 30, 2011",312.47,2083.42,3159.81,5898.35
